Pos,Strand,Locus_tag,Product,UTRlength,GeneLength,Primary,Secondary,Internal,Antisense,Putative sRNA,Putative asRNA
21207,-,b0023,30S ribosomal subunit protein S20,129.0,264.0,1,0,0,0,0,1
21383,+,b0025,bifunctional riboflavin kinase%2FFAD synthetase,24.0,942.0,1,0,0,0,0,0
21835,+,b0025,bifunctional riboflavin kinase%2FFAD synthetase,,942.0,0,0,1,0,0,0
22229,+,b0026,isoleucyl-tRNA synthetase,162.0,2817.0,1,0,0,0,0,0
23116,+,b0026,isoleucyl-tRNA synthetase,,2817.0,0,0,1,0,0,0
23267,+,b0026,isoleucyl-tRNA synthetase,,2817.0,0,0,1,0,0,0
25014,+,b0027,prolipoprotein signal peptidase %28signal peptidase II%29,193.0,495.0,1,0,0,0,0,0
25344,-,b0027,prolipoprotein signal peptidase %28signal peptidase II%29,,495.0,0,0,0,1,0,1
27024,+,b0030,ribonucleoside hydrolase 3,269.0,915.0,0,1,0,0,0,0
27114,+,b0030,ribonucleoside hydrolase 3,179.0,915.0,0,1,0,0,0,0
27263,+,b0030,ribonucleoside hydrolase 3,30.0,915.0,1,0,0,0,0,0
28287,+,b0031,dihydrodipicolinate reductase,87.0,822.0,1,0,0,0,0,0
29129,+,b0031,dihydrodipicolinate reductase,,822.0,0,0,1,0,0,0
29551,+,b0032,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,100.0,1149.0,1,0,0,0,0,0
29767,-,b0032,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,,1149.0,0,0,0,1,0,1
31586,-,b0033,carbamoyl-phosphate synthase large subunit,,3222.0,0,0,0,1,0,1
32607,-,b0033,carbamoyl-phosphate synthase large subunit,,3222.0,0,0,0,1,0,1
34027,-,b0033,carbamoyl-phosphate synthase large subunit,,3222.0,0,0,0,1,0,1
34045,+,b0034,DNA-binding transcriptional activator,255.0,396.0,0,1,0,0,0,0
34218,+,b0034,DNA-binding transcriptional activator,82.0,396.0,1,0,0,0,0,0
34756,+,b0035,stimulator of CaiD and CaiB enzyme activities,,591.0,0,0,0,1,0,1
34907,+,b0035,stimulator of CaiD and CaiB enzyme activities,,591.0,0,0,0,1,0,1
34913,-,b0035,stimulator of CaiD and CaiB enzyme activities,,591.0,0,0,1,0,0,0
36161,+,b0036,carnitinyl-CoA dehydratase,,786.0,0,0,0,1,0,1
37479,+,b0037,putative crotonobetaine%2Fcarnitine-CoA ligase,,1554.0,0,0,0,1,0,1
39939,-,b0039,crotonobetaine reductase subunit II%2C FAD-binding,,1143.0,0,0,1,0,0,0
39952,+,b0039,crotonobetaine reductase subunit II%2C FAD-binding,,1143.0,0,0,0,1,0,1
40935,-,b0040,putative transporter,,1515.0,0,0,1,0,0,0
40941,-,b0040,putative transporter,,1515.0,0,0,1,0,0,0
41748,-,b0040,putative transporter,,1515.0,0,0,1,0,0,0
42510,+,b0041,putative electron transfer flavoprotein subunit%2C required for anaerobic carnitine reduction,,771.0,0,0,1,0,0,0
44059,+,b0043,putative oxidoreductase with FAD%2FNAD%28P%29-binding domain,121.0,1287.0,1,0,0,0,0,0
44061,+,b0043,putative oxidoreductase with FAD%2FNAD%28P%29-binding domain,119.0,1287.0,0,1,0,0,0,0
45860,+,b0045,putative transporter,,1332.0,0,0,1,0,0,0
46052,+,b0045,putative transporter,,1332.0,0,0,1,0,0,0
46141,-,b0045,putative transporter,,1332.0,0,0,0,1,0,1
46988,-,b0045,putative transporter,,1332.0,0,0,0,1,0,1
47181,+,b0046,potassium-efflux system ancillary protein for KefC%2C glutathione-regulated%3B quinone oxidoreductase%2C FMN-dependent,65.0,531.0,0,1,0,0,0,0
47211,+,b0046,potassium-efflux system ancillary protein for KefC%2C glutathione-regulated%3B quinone oxidoreductase%2C FMN-dependent,35.0,531.0,1,0,0,0,0,0
47965,-,b0047,potassium:proton antiporter,,1863.0,0,0,0,1,0,1
49238,-,b0047,potassium:proton antiporter,,1863.0,0,0,0,1,0,1
49788,+,b0048,dihydrofolate reductase,35.0,480.0,1,0,0,0,0,0
50322,+,b0049,diadenosine tetraphosphatase,,843.0,0,0,0,1,0,1
50459,-,b0049,diadenosine tetraphosphatase,,843.0,0,0,1,0,0,0
50477,+,b0049,diadenosine tetraphosphatase,,843.0,0,0,0,1,0,1
50556,-,b0049,diadenosine tetraphosphatase,,843.0,0,0,1,0,0,0
51193,+,b0049,diadenosine tetraphosphatase,,843.0,0,0,0,1,0,1
51949,-,b0051,16S rRNA m%286%29A1518%2C m%286%29A1519 dimethyltransferase%2C SAM-dependent,,822.0,0,0,1,0,0,0
52034,-,b0051,16S rRNA m%286%29A1518%2C m%286%29A1519 dimethyltransferase%2C SAM-dependent,,822.0,0,0,1,0,0,0
52587,-,b0051,16S rRNA m%286%29A1518%2C m%286%29A1519 dimethyltransferase%2C SAM-dependent,157.0,822.0,1,0,0,0,0,0
53090,-,b0052,4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent,,990.0,0,0,1,0,0,0
53139,+,b0052,4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent,,990.0,0,0,0,1,0,1
53776,-,b0053,peptidyl-prolyl cis-trans isomerase %28PPIase%29,,1287.0,0,0,1,0,0,0
53824,-,b0053,peptidyl-prolyl cis-trans isomerase %28PPIase%29,,1287.0,0,0,1,0,0,0
53905,+,b0053,peptidyl-prolyl cis-trans isomerase %28PPIase%29,,1287.0,0,0,0,1,0,1
54788,+,b0053,peptidyl-prolyl cis-trans isomerase %28PPIase%29,,1287.0,0,0,0,1,0,1
54995,+,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,,2355.0,0,0,0,1,0,1
55337,+,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,,2355.0,0,0,0,1,0,1
55399,-,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,,2355.0,0,0,1,0,0,0
56380,+,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,,2355.0,0,0,0,1,0,1
56888,+,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,,2355.0,0,0,0,1,0,1
57150,+,b0055,DnaJ-like protein%2C membrane anchored,214.0,816.0,0,1,0,0,0,1
57156,-,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,47.0,2355.0,0,1,0,0,0,0
57197,+,b0055,DnaJ-like protein%2C membrane anchored,167.0,816.0,0,1,0,0,0,1
57203,+,b0055,DnaJ-like protein%2C membrane anchored,161.0,816.0,0,1,0,0,0,1
57241,-,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,132.0,2355.0,1,0,0,0,0,0
57253,-,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,144.0,2355.0,0,1,0,0,0,0
57259,+,b0055,DnaJ-like protein%2C membrane anchored,105.0,816.0,1,0,0,0,0,0
57261,+,b0055,DnaJ-like protein%2C membrane anchored,103.0,816.0,0,1,0,0,0,0
57311,-,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,202.0,2355.0,0,1,0,0,0,1
57492,+,b0055,DnaJ-like protein%2C membrane anchored,,816.0,0,0,1,0,0,0
58482,+,b4659,pseudo,,796.0,0,0,1,0,0,0
58726,-,b4659,pseudo,,796.0,0,0,0,1,0,1
58734,-,b4659,pseudo,,796.0,0,0,0,1,0,1
58744,-,b4659,pseudo,,796.0,0,0,0,1,0,1
58773,+,b4659,pseudo,,796.0,0,0,1,0,0,0
58890,+,b4659,pseudo,,796.0,0,0,1,0,0,0
58933,+,b4659,pseudo,,796.0,0,0,1,0,0,0
59055,+,b4659,pseudo,,796.0,0,0,1,0,0,0
59728,+,b0058,dual specificity 23S rRNA pseudouridine%28746%29%2C tRNA pseudouridine%2832%29 synthase%2C SAM-dependent,,660.0,0,0,0,1,0,1
60268,-,b0058,dual specificity 23S rRNA pseudouridine%28746%29%2C tRNA pseudouridine%2832%29 synthase%2C SAM-dependent,,660.0,0,0,1,0,0,0
61083,-,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,1,0,0,0
61281,+,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,0,1,0,1
61897,-,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,1,0,0,0
62659,+,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,0,1,0,1
63074,-,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,1,0,0,0
63181,+,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,0,1,0,1
63245,-,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,,2907.0,0,0,1,0,0,0
63357,-,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,93.0,2907.0,1,0,0,0,0,0
63450,-,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,186.0,2907.0,0,1,0,0,0,0
63588,-,b0060,DNA polymerase II,,2352.0,0,0,1,0,0,0
64188,+,b0060,DNA polymerase II,,2352.0,0,0,0,1,0,1
64514,-,b0060,DNA polymerase II,,2352.0,0,0,1,0,0,0
64720,-,b0060,DNA polymerase II,,2352.0,0,0,1,0,0,0
64745,+,b0060,DNA polymerase II,,2352.0,0,0,0,1,0,1
65803,-,b0060,DNA polymerase II,23.0,2352.0,0,1,0,0,0,0
65946,-,b0060,DNA polymerase II,166.0,2352.0,1,0,0,0,0,0
66557,+,b0061,L-ribulose-5-phosphate 4-epimerase,,696.0,0,0,0,1,0,1
66588,+,b0061,L-ribulose-5-phosphate 4-epimerase,,696.0,0,0,0,1,0,1
66867,+,b0062,L-arabinose isomerase,,1503.0,0,0,0,1,0,1
67171,+,b0062,L-arabinose isomerase,,1503.0,0,0,0,1,0,1
67616,-,b0062,L-arabinose isomerase,,1503.0,0,0,1,0,0,0
68654,+,b0063,L-ribulokinase,,1701.0,0,0,0,1,0,1
70077,-,b0063,L-ribulokinase,29.0,1701.0,1,0,0,0,0,0
70221,+,b0064,DNA-binding transcriptional dual regulator,166.0,879.0,1,0,0,0,0,0
70387,+,b0064,DNA-binding transcriptional dual regulator,0.0,879.0,0,1,0,0,0,0
70531,+,b0064,DNA-binding transcriptional dual regulator,,879.0,0,0,1,0,0,0
71292,+,b0065,inner membrane protein%2C SNARE_assoc family,59.0,765.0,0,1,0,0,0,0
71329,+,b0065,inner membrane protein%2C SNARE_assoc family,22.0,765.0,1,0,0,0,0,0
71341,-,b0064,DNA-binding transcriptional dual regulator,,879.0,0,0,0,1,0,1
71795,+,b0065,inner membrane protein%2C SNARE_assoc family,,765.0,0,0,1,0,0,0
73803,-,b0067,fused thiamin transporter subunits of ABC superfamily: membrane components,,1611.0,0,0,1,0,0,0
75126,+,b0068,thiamin transporter subunit,,984.0,0,0,0,1,0,1
75608,-,b0068,thiamin transporter subunit,128.0,984.0,1,0,0,0,0,0
75747,-,b0068,thiamin transporter subunit,267.0,984.0,0,1,0,0,0,0
75765,+,b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,,1656.0,0,0,0,1,0,1
75969,-,b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,,1656.0,0,0,1,0,0,0
77336,-,b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,37.0,1656.0,1,0,0,0,0,1
77339,-,b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,40.0,1656.0,0,1,0,0,0,1
77367,+,b4577,sRNA antisense regulator destabilzes ptsG mRNA%2C Hfq-dependent%3B regulated by sgrR,0.0,227.0,1,0,0,0,0,1
77403,-,b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,104.0,1656.0,0,1,0,0,0,1
77546,+,b0070,broad specificity sugar efflux system,75.0,1179.0,1,0,0,0,0,0
77565,-,b4577,sRNA antisense regulator destabilzes ptsG mRNA%2C Hfq-dependent%3B regulated by sgrR,,227.0,0,0,0,1,0,1
77619,+,b0070,broad specificity sugar efflux system,2.0,1179.0,0,1,0,0,0,0
77910,+,b0070,broad specificity sugar efflux system,,1179.0,0,0,1,0,0,0
77915,+,b0070,broad specificity sugar efflux system,,1179.0,0,0,1,0,0,0
78203,+,b0070,broad specificity sugar efflux system,,1179.0,0,0,1,0,0,0
78269,+,b0070,broad specificity sugar efflux system,,1179.0,0,0,1,0,0,0
78332,+,b0070,broad specificity sugar efflux system,,1179.0,0,0,1,0,0,0
78491,-,b0070,broad specificity sugar efflux system,,1179.0,0,0,0,1,0,1
78612,+,b0070,broad specificity sugar efflux system,,1179.0,0,0,1,0,0,0
79676,-,b0071,3-isopropylmalate dehydratase small subunit,223.0,606.0,1,0,0,0,0,0
80331,+,b0072,3-isopropylmalate dehydratase large subunit,,1401.0,0,0,0,1,0,1
82216,+,b0074,2-isopropylmalate synthase,,1572.0,0,0,0,1,0,1
82467,-,b0074,2-isopropylmalate synthase,,1572.0,0,0,1,0,0,0
82645,+,b0074,2-isopropylmalate synthase,,1572.0,0,0,0,1,0,1
83570,-,b0074,2-isopropylmalate synthase,41.0,1572.0,1,0,0,0,0,0
83735,-,b0075,leu operon leader peptide,27.0,87.0,1,0,0,0,0,0
83894,-,b0075,leu operon leader peptide,186.0,87.0,0,1,0,0,0,0
84155,+,b0076,DNA-binding transcriptional activator,213.0,945.0,1,0,0,0,0,0
84300,+,b0076,DNA-binding transcriptional activator,68.0,945.0,0,1,0,0,0,0
84304,+,b0076,DNA-binding transcriptional activator,64.0,945.0,0,1,0,0,0,0
84808,+,b0076,DNA-binding transcriptional activator,,945.0,0,0,1,0,0,0
84903,-,b0076,DNA-binding transcriptional activator,,945.0,0,0,0,1,0,1
85192,+,b0076,DNA-binding transcriptional activator,,945.0,0,0,1,0,0,0
85537,+,b0077,acetolactate synthase III%2C large subunit,93.0,1725.0,0,1,0,0,0,0
85599,+,b0077,acetolactate synthase III%2C large subunit,31.0,1725.0,1,0,0,0,0,0
85756,+,b0077,acetolactate synthase III%2C large subunit,,1725.0,0,0,1,0,0,0
85946,-,b0077,acetolactate synthase III%2C large subunit,,1725.0,0,0,0,1,0,1
86713,-,b0077,acetolactate synthase III%2C large subunit,,1725.0,0,0,0,1,0,1
87347,-,b0077,acetolactate synthase III%2C large subunit,,1725.0,0,0,0,1,0,1
87733,+,b0080,DNA-binding transcriptional repressor-activator for carbon metabolism,295.0,1005.0,0,1,0,0,0,0
87847,+,b0080,DNA-binding transcriptional repressor-activator for carbon metabolism,181.0,1005.0,1,0,0,0,0,0
87962,-,b0080,DNA-binding transcriptional repressor-activator for carbon metabolism,,1005.0,0,0,0,1,0,1
89361,+,b0081,RsmH methytransferase inhibitor,273.0,459.0,1,0,0,0,0,0
89590,+,b0081,RsmH methytransferase inhibitor,44.0,459.0,0,1,0,0,0,0
90828,-,b0082,16S rRNA m%284%29C1402 methyltransferase%2C SAM-dependent,,942.0,0,0,0,1,0,1
91371,-,b0083,membrane bound cell division protein at septum containing leucine zipper motif,,366.0,0,0,0,1,0,1
91542,-,b0084,transpeptidase involved in septal peptidoglycan synthesis %28penicillin-binding protein 3%29,,1767.0,0,0,0,1,0,1
92250,-,b0084,transpeptidase involved in septal peptidoglycan synthesis %28penicillin-binding protein 3%29,,1767.0,0,0,0,1,0,1
92677,-,b0084,transpeptidase involved in septal peptidoglycan synthesis %28penicillin-binding protein 3%29,,1767.0,0,0,0,1,0,1
94564,-,b0085,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,,1488.0,0,0,0,1,0,1
95826,-,b0086,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,,1359.0,0,0,0,1,0,1
97215,-,b0088,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,,1317.0,0,0,0,1,0,1
97663,-,b0088,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,,1317.0,0,0,0,1,0,1
98594,+,b0089,lipid II flippase%3B integral membrane protein involved in stabilizing FstZ ring during cell division,,1245.0,0,0,1,0,0,0
99370,+,b0090,N-acetylglucosaminyl transferase,274.0,1068.0,1,0,0,0,0,0
99588,-,b0089,lipid II flippase%3B integral membrane protein involved in stabilizing FstZ ring during cell division,,1245.0,0,0,0,1,0,1
100883,-,b0091,UDP-N-acetylmuramate:L-alanine ligase,,1476.0,0,0,0,1,0,1
102454,+,b0092,D-alanine:D-alanine ligase,,921.0,0,0,1,0,0,0
102533,+,b0092,D-alanine:D-alanine ligase,,921.0,0,0,1,0,0,0
102693,-,b0092,D-alanine:D-alanine ligase,,921.0,0,0,0,1,0,1
102743,+,b0092,D-alanine:D-alanine ligase,,921.0,0,0,1,0,0,0
102872,+,b0093,divisome assembly protein%2C membrane anchored protein involved in growth of wall at septum,283.0,831.0,1,0,0,0,0,0
103764,-,b0093,divisome assembly protein%2C membrane anchored protein involved in growth of wall at septum,,831.0,0,0,0,1,0,1
104537,+,b0094,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,,1263.0,0,0,1,0,0,0
105047,+,b0095,GTP-binding tubulin-like cell division protein,258.0,1152.0,1,0,0,0,0,0
105143,-,b0094,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,,1263.0,0,0,0,1,0,1
106502,+,b0096,UDP-3-O-acyl N-acetylglucosamine deacetylase,55.0,918.0,1,0,0,0,0,0
106757,-,b0096,UDP-3-O-acyl N-acetylglucosamine deacetylase,,918.0,0,0,0,1,0,1
107475,-,b0096,UDP-3-O-acyl N-acetylglucosamine deacetylase,,918.0,0,0,0,1,0,1
107645,-,b0097,regulator of secA translation,,513.0,0,0,0,1,0,1
107668,+,b0097,regulator of secA translation,37.0,513.0,1,0,0,0,0,0
107945,-,b0097,regulator of secA translation,,513.0,0,0,0,1,0,1
108116,-,b0097,regulator of secA translation,,513.0,0,0,0,1,0,1
108125,-,b0097,regulator of secA translation,,513.0,0,0,0,1,0,1
108213,-,b0097,regulator of secA translation,,513.0,0,0,0,1,0,1
108263,-,b0097,regulator of secA translation,,513.0,0,0,0,1,0,1
109010,+,b0098,preprotein translocase subunit%2C ATPase,,2706.0,0,0,1,0,0,0
110105,+,b0098,preprotein translocase subunit%2C ATPase,,2706.0,0,0,1,0,0,0
110229,+,b0098,preprotein translocase subunit%2C ATPase,,2706.0,0,0,1,0,0,0
110345,-,b0098,preprotein translocase subunit%2C ATPase,,2706.0,0,0,0,1,0,1
110745,+,b0099,nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP,299.0,390.0,1,0,0,0,0,0
111148,+,b0099,nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP,,390.0,0,0,1,0,0,0
111293,+,b0099,nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP,,390.0,0,0,1,0,0,0
111828,-,b0101,DNA gyrase inhibitor,,198.0,0,0,1,0,0,0
112688,-,b0102,FtsZ stabilizer,89.0,744.0,1,0,0,0,0,0
113322,-,b0103,dephospho-CoA kinase,103.0,621.0,1,0,0,0,0,0
113394,+,b0104,GMP reductase,50.0,1044.0,1,0,0,0,0,0
113801,-,b0104,GMP reductase,,1044.0,0,0,0,1,0,1
113975,+,b0104,GMP reductase,,1044.0,0,0,1,0,0,0
114576,-,b0106,assembly protein in type IV pilin biogenesis%2C transmembrane protein,,1203.0,0,0,1,0,0,1
115647,+,b0106,assembly protein in type IV pilin biogenesis%2C transmembrane protein,,1203.0,0,0,0,1,0,1
116075,-,b0107,conserved protein with nucleoside triphosphate hydrolase domain,,1386.0,0,0,1,0,0,0
116380,+,b0107,conserved protein with nucleoside triphosphate hydrolase domain,,1386.0,0,0,0,1,0,1
116545,-,b0107,conserved protein with nucleoside triphosphate hydrolase domain,,1386.0,0,0,1,0,0,0
116596,+,b0107,conserved protein with nucleoside triphosphate hydrolase domain,,1386.0,0,0,0,1,0,1
117051,-,b0107,conserved protein with nucleoside triphosphate hydrolase domain,,1386.0,0,0,1,0,0,0
117787,-,b0108,putative major pilin subunit,238.0,441.0,1,0,0,0,0,0
118526,+,b0110,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase,207.0,552.0,0,1,0,0,0,1
118679,-,b0109,quinolinate phosphoribosyltransferase,34.0,894.0,1,0,0,0,0,1
118701,+,b0110,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase,32.0,552.0,0,1,0,0,0,1
118703,+,b0110,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase,30.0,552.0,1,0,0,0,0,1
118990,+,b0111,putative inner membrane protein,291.0,855.0,1,0,0,0,0,0
120543,-,b0112,aromatic amino acid transporter,,1374.0,0,0,1,0,0,0
120697,-,b0112,aromatic amino acid transporter,,1374.0,0,0,1,0,0,0
121068,-,b0112,aromatic amino acid transporter,,1374.0,0,0,1,0,0,0
121676,-,b0112,aromatic amino acid transporter,125.0,1374.0,1,0,0,0,0,0
121680,-,b0112,aromatic amino acid transporter,129.0,1374.0,0,1,0,0,0,0
121790,-,b0112,aromatic amino acid transporter,239.0,1374.0,0,1,0,0,0,0
121802,+,b0113,DNA-binding transcriptional dual regulator,290.0,765.0,0,1,0,0,0,0
122025,+,b0113,DNA-binding transcriptional dual regulator,67.0,765.0,0,1,0,0,0,0
122034,+,b0113,DNA-binding transcriptional dual regulator,58.0,765.0,1,0,0,0,0,0
122373,-,b0113,DNA-binding transcriptional dual regulator,,765.0,0,0,0,1,0,1
